City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,80.11,overcast clouds,-23.1203,-134.9692,Pension Maro'i
4,Kudahuvadhoo,MV,81.07,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
8,Quelimane,MZ,82.4,broken clouds,-17.8786,36.8883,Hotel Flamingo
15,Villa Carlos Paz,AR,84.0,scattered clouds,-31.4241,-64.4978,Monte Carlo
16,Puerto Ayora,EC,84.2,light rain,-0.7393,-90.3518,Castillo Galapagos
17,Arraial Do Cabo,BR,82.4,clear sky,-22.9661,-42.0278,Pousada Porto Praia
18,Kolondieba,ML,76.06,broken clouds,11.0882,-6.8926,Hotel Dakan
20,Maningrida,AU,78.35,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
25,Ahuimanu,US,78.8,broken clouds,21.4447,-157.8378,Paradise Bay Resort
26,Kapaa,US,75.2,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
27,Bathsheba,BB,80.6,scattered clouds,13.2167,-59.5167,Atlantis Hotel
28,Chikwawa,MW,75.63,moderate rain,-16.0335,34.8009,Thawale Lodge
29,Bengkulu,ID,75.06,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
30,Hithadhoo,MV,81.5,broken clouds,-0.6,73.0833,Scoop Guest House
33,Atuona,PF,78.69,clear sky,-9.8,-139.0333,Villa Enata
34,Vaini,TO,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
39,Stabat,ID,77.0,mist,3.761,98.4513,Link VII damai
40,Biak,ID,75.63,overcast clouds,-0.9131,122.8766,Penginapan Kim
49,Mahebourg,MU,80.6,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
55,Depok,ID,78.01,scattered clouds,-6.4,106.8186,Hotel Santika Depok
56,Bambous Virieux,MU,80.6,light rain,-20.3428,57.7575,Casa Tia Villa
61,Cabo San Lucas,MX,84.2,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
63,Villanueva,HN,80.01,broken clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
65,Georgetown,MY,77.0,few clouds,5.4112,100.3354,Cititel Penang
68,Souillac,MU,80.6,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
71,Avarua,CK,78.8,moderate rain,-21.2078,-159.775,Paradise Inn
72,Clarence Town,AU,75.2,overcast clouds,-32.5833,151.7833,River Downs Cottage
73,Cidreira,BR,78.24,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
76,Poum,NC,80.2,clear sky,-20.2333,164.0167,Gîte kajeon
79,El Espino De Santa Rosa,PA,83.35,overcast clouds,8.1,-80.8167,PH Jardines Espino De La Rosa
82,Mayumba,GA,79.03,light rain,-3.432,10.6554,LIKWALE LODGE
83,Butaritari,KI,80.71,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
87,Maragogi,BR,78.4,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
88,Jacqueville,CI,80.6,clear sky,5.2052,-4.4146,Hotel Le Martin Pecheur
93,Faanui,PF,80.69,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
94,San Andres,CO,84.2,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
95,Geraldton,AU,80.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
97,Tamandare,BR,78.8,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
105,Lazaro Cardenas,MX,83.52,overcast clouds,17.9583,-102.2,Collection O Hotel Quinta Antigua
125,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
126,Jacareacanga,BR,81.82,broken clouds,-6.2222,-57.7528,Casa do Ian😎
127,Inhambane,MZ,78.84,few clouds,-23.865,35.3833,Oceano
131,Ewa Beach,US,78.8,clear sky,21.3156,-158.0072,Base Lodging
133,Itacare,BR,76.6,broken clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
141,Muli,MV,80.8,broken clouds,2.9167,73.5667,Medhufushi Island Resort
