City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yerbogachen,RU,61.2767,108.0108,-44.25,78,47,5.5,scattered clouds
1,Bronnoysund,NO,65.4625,12.1997,30.2,69,75,12.66,light snow
2,Rikitea,PF,-23.1203,-134.9692,80.11,67,88,7.54,overcast clouds
3,New Norfolk,AU,-42.7826,147.0587,66.99,87,54,1.01,broken clouds
4,Kudahuvadhoo,MV,2.6708,72.8944,81.07,78,67,15.57,broken clouds
5,Esperance,AU,-33.8667,121.9,55.4,88,1,5.75,clear sky
6,Airai,TL,-8.9266,125.4092,61.68,100,100,4.12,light rain
7,Tasiilaq,GL,65.6145,-37.6368,15.8,86,90,23.02,overcast clouds
8,Quelimane,MZ,-17.8786,36.8883,82.4,89,75,5.75,broken clouds
9,Dikson,RU,73.5069,80.5464,-31.92,85,100,6.42,overcast clouds
10,Salalah,OM,17.0151,54.0924,73.4,60,75,5.75,broken clouds
11,Avera,US,33.194,-82.5271,53.01,32,1,3.44,clear sky
12,Kaeo,NZ,-35.1,173.7833,62.01,94,26,1.99,scattered clouds
13,Batagay-Alyta,RU,67.8006,130.4114,-29.2,82,100,1.7,overcast clouds
14,Cape Town,ZA,-33.9258,18.4232,69.01,82,20,9.22,few clouds
15,Villa Carlos Paz,AR,-31.4241,-64.4978,84.0,75,28,10.0,scattered clouds
16,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,40,14.97,light rain
17,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,73,0,17.27,clear sky
18,Kolondieba,ML,11.0882,-6.8926,76.06,17,61,2.59,broken clouds
19,Hobart,AU,-42.8794,147.3294,66.0,82,20,6.91,few clouds
20,Maningrida,AU,-12.0667,134.2667,78.35,88,97,7.16,overcast clouds
21,Oksfjord,NO,70.2396,22.3479,17.6,67,90,8.05,overcast clouds
22,Mataura,NZ,-46.1927,168.8643,58.39,56,25,1.97,scattered clouds
23,Rincon,US,32.296,-81.2354,55.4,30,20,3.36,few clouds
24,Chapais,CA,49.7834,-74.8492,1.4,78,90,11.5,light snow
25,Ahuimanu,US,21.4447,-157.8378,78.8,61,75,13.8,broken clouds
26,Kapaa,US,22.0752,-159.319,75.2,69,40,19.57,scattered clouds
27,Bathsheba,BB,13.2167,-59.5167,80.6,65,40,12.66,scattered clouds
28,Chikwawa,MW,-16.0335,34.8009,75.63,87,100,2.77,moderate rain
29,Bengkulu,ID,-3.8004,102.2655,75.06,88,100,5.61,light rain
