City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thinadhoo,MV,2021-01-28 21:15:20,0.5333,72.9333,81.72,71,99,10.36
1,Otane,NZ,2021-01-28 21:15:20,-39.8833,176.6333,55.99,77,99,10.54
2,Jamestown,US,2021-01-28 21:15:20,42.097,-79.2353,19.0,79,90,11.5
3,Clinton,US,2021-01-28 21:15:20,42.587,-82.9199,24.01,58,90,12.66
4,Lebu,CL,2021-01-28 21:15:20,-37.6167,-73.65,59.13,91,100,8.03
5,Coquimbo,CL,2021-01-28 21:15:20,-29.9533,-71.3436,68.0,68,0,12.66
6,Albany,US,2021-01-28 21:15:21,42.6001,-73.9662,21.0,48,29,5.99
7,Atasu,KZ,2021-01-28 21:15:21,48.6814,71.6433,16.09,88,0,3.98
8,Hermanus,ZA,2021-01-28 21:15:21,-34.4187,19.2345,57.0,87,22,5.66
9,Mindelo,CV,2021-01-28 21:15:21,16.8901,-24.9804,71.6,78,20,18.41
10,Nadym,RU,2021-01-28 21:15:22,65.5333,72.5167,-27.4,85,100,10.16
11,Kapaa,US,2021-01-28 21:15:22,22.0752,-159.319,75.2,78,75,21.85
12,Rikitea,PF,2021-01-28 21:15:22,-23.1203,-134.9692,79.38,69,78,3.78
13,Dzerzhinsk,RU,2021-01-28 21:13:27,56.2389,43.4631,28.4,74,20,8.95
14,Tabou,CI,2021-01-28 21:15:23,4.423,-7.3528,77.9,88,68,4.88
15,Kochki,RU,2021-01-28 21:15:23,54.3358,80.4806,22.5,96,100,19.39
16,Kaitangata,NZ,2021-01-28 21:15:23,-46.2817,169.8464,50.0,85,94,11.01
17,Norman Wells,CA,2021-01-28 21:15:23,65.282,-126.8329,-25.6,75,20,4.61
18,Bredasdorp,ZA,2021-01-28 21:15:23,-34.5322,20.0403,57.2,77,6,3.44
19,Nara,JP,2021-01-28 21:15:23,34.6851,135.8049,36.0,48,20,11.5
20,Provideniya,RU,2021-01-28 21:15:23,64.3833,-173.3,6.8,78,90,20.13
21,Yellowknife,CA,2021-01-28 21:10:46,62.456,-114.3525,-18.99,69,75,4.61
22,Airai,TL,2021-01-28 21:15:24,-8.9266,125.4092,61.38,100,100,4.12
23,Qaanaaq,GL,2021-01-28 21:14:55,77.484,-69.3632,-12.51,66,0,10.13
24,Kaeo,NZ,2021-01-28 21:15:24,-35.1,173.7833,69.01,53,7,8.99
25,Fare,PF,2021-01-28 21:15:24,-16.7,-151.0167,81.09,68,100,7.9
26,Vaini,TO,2021-01-28 21:15:24,-21.2,-175.2,78.8,94,90,18.41
27,Mataura,NZ,2021-01-28 21:15:24,-46.1927,168.8643,48.0,80,91,8.01
28,Lavrentiya,RU,2021-01-28 21:15:24,65.5833,-171.0,-9.06,84,100,12.88
29,New Norfolk,AU,2021-01-28 21:15:25,-42.7826,147.0587,60.01,58,94,4.0
30,Mar Del Plata,AR,2021-01-28 21:15:22,-38.0023,-57.5575,80.6,47,75,11.5
31,Port Alfred,ZA,2021-01-28 21:14:56,-33.5906,26.891,66.0,76,0,5.01
32,Karlshamn,SE,2021-01-28 21:15:25,56.1706,14.8619,28.4,86,90,11.5
33,Atuona,PF,2021-01-28 21:15:25,-9.8,-139.0333,78.31,76,14,18.72
34,Bethel,US,2021-01-28 21:15:25,41.3712,-73.414,27.0,48,0,1.99
35,Tucupita,VE,2021-01-28 21:15:26,9.0622,-62.051,81.25,73,97,5.59
36,Busselton,AU,2021-01-28 21:15:26,-33.65,115.3333,61.0,80,0,12.37
37,Lagoa,PT,2021-01-28 21:15:26,39.05,-27.9833,63.09,86,100,33.98
38,Ostrovnoy,RU,2021-01-28 21:15:26,68.0531,39.5131,-2.74,90,94,12.75
39,Constitucion,CL,2021-01-28 21:10:56,-35.3333,-72.4167,65.77,71,100,10.6
